,common_length,guid,l,timebin,publication_date,publication_name,ratio,ressort,source_length,source_title,title,url,parent,p,trend_rank_1_1h,trend_rank_2_1h,trend_1h,trend_rank_1_3h,trend_rank_2_3h,trend_3h,title_package
0,39,urn:newsml:dpa.com:20090101:150123-99-08969,42,2017-09-12 14:30:00,2017-09-12T14:44:43,www.1545097193.de,0.9285714285714292,pl,42,«Manchmal noch mehr Krach schlagen» - Heiner Geißler ist tot,Heiner Geißler: Querdenker und CDU-Urgestein,http://7651620675922227596,urn:newsml:dpa.com:20090101:150123-99-08969,False,,,,,,,
1,41,urn:newsml:dpa.com:20090101:150123-99-08969,42,2017-09-12 13:30:00,2017-09-12T13:52:52,www.8622151120.de,0.9761904761904759,pl,42,«Manchmal noch mehr Krach schlagen» - Heiner Geißler ist tot,Heiner Geißler: Querdenker und CDU-Urgestein,http://2896202427051482655,urn:newsml:dpa.com:20090101:150123-99-08969,False,,,,,,,
2,40,urn:newsml:dpa.com:20090101:150123-99-08969,44,2017-09-12 14:00:00,2017-09-12T14:26:56,www.8743180313.de,0.9090909090909092,pl,42,«Manchmal noch mehr Krach schlagen» - Heiner Geißler ist tot,"Heiner Geißler im Nachruf - ""ich hätte mehr Krach schlagen müssen""",http://5416832706730168249,urn:newsml:dpa.com:20090101:150123-99-08969,False,,,,,,,
3,39,urn:newsml:dpa.com:20090101:150123-99-08969,40,2017-09-12 14:00:00,2017-09-12T14:19:10,www.2388857132.de,0.975,pl,42,«Manchmal noch mehr Krach schlagen» - Heiner Geißler ist tot,Heiner Geißler: Querdenker und CDU-Urgestein,http://8352017656113519856,urn:newsml:dpa.com:20090101:150123-99-08969,False,,,,,,,
4,39,urn:newsml:dpa.com:20090101:150123-99-08969,42,2017-09-12 18:00:00,2017-09-12T18:27:19,www.8546979656.de,0.9285714285714292,pl,42,«Manchmal noch mehr Krach schlagen» - Heiner Geißler ist tot,Heiner Geißler: Querdenker und CDU-Urgestein,http://3204298997384299514,urn:newsml:dpa.com:20090101:150123-99-08969,False,,,,,,,
5,39,urn:newsml:dpa.com:20090101:150123-99-08969,40,2017-09-12 14:00:00,2017-09-12T14:03:25,www.3864021906.de,0.975,pl,42,«Manchmal noch mehr Krach schlagen» - Heiner Geißler ist tot,Heiner Geißler: Querdenker und CDU-Urgestein,http://5062849589567472643,urn:newsml:dpa.com:20090101:150123-99-08969,False,,,,,,,
6,39,urn:newsml:dpa.com:20090101:150123-99-08969,40,2017-09-12 14:00:00,2017-09-12T14:13:35,www.6724487064.de,0.975,pl,42,«Manchmal noch mehr Krach schlagen» - Heiner Geißler ist tot,Heiner Geißler: Querdenker und CDU-Urgestein,http://7850617144100226141,urn:newsml:dpa.com:20090101:150123-99-08969,False,,,,,,,
7,39,urn:newsml:dpa.com:20090101:150123-99-08969,40,2017-09-12 13:30:00,2017-09-12T13:39:38,www.4360092911.de,0.975,pl,42,«Manchmal noch mehr Krach schlagen» - Heiner Geißler ist tot,Heiner Geißler: Querdenker und CDU-Urgestein,http://3030901508517723061,urn:newsml:dpa.com:20090101:150123-99-08969,False,,,,,,,
8,36,urn:newsml:dpa.com:20090101:150123-99-08969,44,2017-09-12 14:00:00,2017-09-12T14:17:25,www.2393038588.de,0.818181818181818,pl,42,«Manchmal noch mehr Krach schlagen» - Heiner Geißler ist tot,Leben und Wirken von Heiner Geißler,http://389932822219537,urn:newsml:dpa.com:20090101:150123-99-08969,False,,,,,,,
9,40,urn:newsml:dpa.com:20090101:150123-99-08969,42,2017-09-12 15:00:00,2017-09-12T15:03:02,www.2474967481.de,0.952380952380952,pl,42,«Manchmal noch mehr Krach schlagen» - Heiner Geißler ist tot,"Heiner Geißler: ""Manchmal noch mehr Krach schlagen"" - Porträt eines der prominentesten Vertreter",http://5219377142585591733,urn:newsml:dpa.com:20090101:150123-99-08969,False,,,,,,,
10,41,urn:newsml:dpa.com:20090101:150123-99-08969,43,2017-09-12 13:30:00,2017-09-12T13:53:11,www.7368811707.de,0.9534883720930232,pl,42,«Manchmal noch mehr Krach schlagen» - Heiner Geißler ist tot,Heiner Geißler: Querdenker und CDU-Urgestein,http://6398384004352331346,urn:newsml:dpa.com:20090101:150123-99-08969,False,,,,,,,
11,39,urn:newsml:dpa.com:20090101:150123-99-08969,43,2017-09-12 13:30:00,2017-09-12T13:56:04,www.5134050393.de,0.906976744186046,pl,42,«Manchmal noch mehr Krach schlagen» - Heiner Geißler ist tot,Heiner Geißler: Querdenker und CDU-Urgestein,http://6508301040005617079,urn:newsml:dpa.com:20090101:150123-99-08969,False,,,,,,,
12,40,urn:newsml:dpa.com:20090101:150123-99-08969,41,2017-09-12 14:30:00,2017-09-12T14:41:53,www.2664196293.de,0.9756097560975612,pl,42,«Manchmal noch mehr Krach schlagen» - Heiner Geißler ist tot,Heiner Geißler: Querdenker und CDU-Urgestein,http://7293349217288918657,urn:newsml:dpa.com:20090101:150123-99-08969,False,,,,,,,
13,16,urn:newsml:dpa.com:20090101:170708-99-162804,18,2017-09-12 11:30:00,2017-09-12T11:54:56,www.3697935600.de,0.8888888888888891,ku,19,Wenn die Eitlen zu Eliten werden – Robert Menasses «Die Hauptstadt»,Literatur   Robert Menasse: Wenn die Eitlen zu Eliten werden,http://7541641946273356198,urn:newsml:dpa.com:20090101:170708-99-162804,False,,,,,,,
14,42,urn:newsml:dpa.com:20090101:170711-99-203212,44,2017-09-12 15:30:00,2017-09-12T15:34:13,www.6064610052.de,0.954545454545455,wi,44,Geplante Sky-Übernahme: Triumph oder Demütigung für Rupert Murdoch?,Geplante Sky-Übernahme: Triumph oder Demütigung für Murdoch?,http://6640949539241051396,urn:newsml:dpa.com:20090101:170711-99-203212,False,,,,,,,
15,36,urn:newsml:dpa.com:20090101:170711-99-203212,42,2017-09-12 16:30:00,2017-09-12T16:30:56,www.3697935600.de,0.8571428571428571,wi,44,Geplante Sky-Übernahme: Triumph oder Demütigung für Rupert Murdoch?,Geplante Sky-Übernahme   Bekommt Rupert Murdoch eine Abfuhr?,http://3717771507044717053,urn:newsml:dpa.com:20090101:170711-99-203212,False,,,,,,,
16,44,urn:newsml:dpa.com:20090101:170711-99-203212,47,2017-09-12 10:30:00,2017-09-12T10:30:38,www.7011070254.de,0.936170212765957,wi,44,Geplante Sky-Übernahme: Triumph oder Demütigung für Rupert Murdoch?,Sky-Übernahme: Triumph oder Demütigung für Rupert Murdoch?,http://8212766352081251376,urn:newsml:dpa.com:20090101:170711-99-203212,False,,,,,,,
17,40,urn:newsml:dpa.com:20090101:170711-99-203212,41,2017-09-12 16:00:00,2017-09-12T16:21:27,www.2025374698.de,0.9756097560975612,wi,44,Geplante Sky-Übernahme: Triumph oder Demütigung für Rupert Murdoch?,Geplante Sky-Übernahme: Triumph oder Demütigung für Rupert Murdoch?,http://696106452433284181,urn:newsml:dpa.com:20090101:170711-99-203212,False,,,,,,,
